textID,tweet_text,sentiment
1956967666,Layin n bed with a headache  ughhhh...waitin on your call...,negative
1956967696,Funeral ceremony...gloomy friday...,negative
1956967789,wants to hang out with friends SOON!,positive
1956968477,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,negative
1956968636,Hmmm. http://www.djhero.com/ is down,negative
1956969035,@charviray Charlene my love. I miss you,negative
1956969172,@kelcouch I'm sorry  at least it's Friday?,negative
1956969531,Choked on her retainers,negative
1956970047,Ugh! I have to beat this stupid song to get to the next  rude!,negative
1956970424,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,negative
1956971206,So sleepy again and it's not even that late. I fail once again.,negative
1956971473,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,negative
1956971586,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,negative
1956972444,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,negative
1956972557,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",negative
1956972884,Damm servers still down  i need to hit 80 before all the koxpers pass me,negative
1956973598,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,negative
1956973690,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,negative
1956974706,It is so annoying when she starts typing on her computer in the middle of the night!,negative
1956975441,@cynthia_123 i cant sleep,negative
1956975860,I missed the bl***y bus!!!!!!!!,negative
1956976312,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,negative
1956977084,mmm much better day... so far! it's still quite early. last day of #uds,positive
1956977187,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,positive
1956977618,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,negative
1956978410,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",negative
1956978668,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",positive
1956979150,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,negative
1956979894,Chocolate milk is so much better through a straw. I lack said straw,positive
1956979900,why am i so tired?,negative
1956980883,@benballer  no way! damn that sucks B!  are you ok?,negative
1956980972,sucks not being able to take days off of work or have the money to take the trip  so sad,negative
1956981427,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",positive
1956982449,@itsgabbith at once haha.  poor aby still gets sore!,negative
1956982605,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,negative
1956983171,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,negative
1956983509,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,negative
1956984185,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',negative
1956984205,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,positive
1956984559,says I miss plurking.  http://plurk.com/p/wxion,negative
1956984864,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",negative
1956985612,is sad that shin ae got married...and it wasn't to alex,negative
1956985758,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",negative
1956987600,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,negative
1956987828,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,negative
1956988145,@lepetitagneau what's going on sweetheart?,positive
1956988218,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",negative
1956988223,"Last one month due to summer, strawberry is not availble in the Chennai markets!",negative
1956989093,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,positive
1956989560,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,negative
1956989601,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,negative
1956989914,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),negative
1956990288,@mrgenius23 You win ... SIGH Rakeem,positive
1956991704,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,negative
1956991723,ahh! big scary bug flying around my room!!!!!,negative
1956992030,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",positive
1956992144,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,negative
1956992349,@justamedicine  That was stone cold   Crazy....  ?,negative
1956993007,i'm so tired,negative
1956994067,@thecreativeone I second that. I wish it rained more where I am,positive
1956995679,I'm feel deflated. Ugh. No more dog.,negative
1956995762,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,negative
1956995852,Well it almost was a good day... Guess I just retry tomorrow,positive
1956996385,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,positive
1956996673,@britblackbird  youstinkatrespondingtotexts!,negative
1956996776,Is miserable  i feel like im gona cry  sux!,negative
1956997143,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,negative
1956997352,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,negative
